,날짜,고구마가격,오이가격,평균기온,최고기온,최저기온,강수량,일조시간,일사량,습도,거래량(톤),고급휘발유,보통휘발유,자동차용경유,소비자물가,농축수산물,공업제품,집세,공공서비스,개인서비스,근원물가,생활물가
1123,2021-08-02,6575,7553,26.548125,30.106875,24.455625,60.62857143,3.653125,13.18866667,88.071875,68.45666667,1877.95,1644.6,1439.98,2.6,5.6,2.9,1.5,0.5,2.8,1.9,3.3
1124,2021-08-03,6539,7643,27.27625,31.498125,23.9925,45.70909091,5.684375,17.694,82.803125,63.7,1878.39,1645.23,1440.57,2.6,5.6,2.9,1.5,0.5,2.8,1.9,3.3
1125,2021-08-04,6607,7656,28.343125,33.11875,24.415625,1.4,9.674375,23.54066667,76.1175,62.85666667,1879.68,1645.75,1440.98,2.6,5.6,2.9,1.5,0.5,2.8,1.9,3.3
1126,2021-08-05,6419,7616,28.7675,33.82125,24.56125,2.2,10.38125,23.41133333,74.4875,62.29166667,1880.18,1646.09,1441.3,2.6,5.6,2.9,1.5,0.5,2.8,1.9,3.3
1127,2021-08-06,6449,7491,27.865,33.7725,23.835,21.2625,9.235625,22.19866667,77.16375,63.46333333,1880.74,1646.72,1441.84,2.6,5.6,2.9,1.5,0.5,2.8,1.9,3.3
1128,2021-08-09,6392,7714,26.75125,31.920625,22.55125,40.45,8.815625,22.11466667,73.23625,58.09833333,1881.46,1647.32,1442.25,2.6,5.6,2.9,1.5,0.5,2.8,1.9,3.3
1129,2021-08-10,6388,7723,25.61625,30.08875,22.56125,40.75833333,6.558125,19.32933333,79.716875,53.20833333,1881.55,1647.35,1442.23,2.6,5.6,2.9,1.5,0.5,2.8,1.9,3.3
1130,2021-08-11,6417,7780,25.815,30.841875,22.14,21.225,6.83,17.73857143,80.279375,51.17666667,1881.54,1647.32,1442.14,2.6,5.6,2.9,1.5,0.5,2.8,1.9,3.3
1131,2021-08-12,6318,7738,25.773125,30.448125,22.215,10.63636364,4.61125,14.122,80.196875,48.43333333,1881.3,1647.34,1442.12,2.6,5.6,2.9,1.5,0.5,2.8,1.9,3.3
1132,2021-08-13,6288,7810,25.20375,28.679375,22.505,17.03636364,1.718,11.12866667,81.501875,46.13166667,1881.37,1647.35,1442.11,2.6,5.6,2.9,1.5,0.5,2.8,1.9,3.3
1133,2021-08-17,6342,7872,24.21375,28.526875,20.876875,25.78666667,5.495,16.954,75.493125,43.95166667,1881.6,1647.22,1441.9,2.6,5.6,2.9,1.5,0.5,2.8,1.9,3.3
1134,2021-08-18,6268,7999,23.419375,28.16375,20.428125,27.025,4.30625,14.98133333,79.595,41.98666667,1881.23,1647.0,1441.6,2.6,5.6,2.9,1.5,0.5,2.8,1.9,3.3
1135,2021-08-19,6028,8924,23.815625,28.57125,20.314375,26.76363636,5.9325,17.22666667,77.16625,40.66666667,1880.85,1646.4,1441.01,2.6,5.6,2.9,1.5,0.5,2.8,1.9,3.3
1136,2021-08-20,6011,9024,24.964375,29.865,20.419375,4.033333333,8.141875,20.12666667,77.41875,40.05333333,1880.48,1645.98,1440.55,2.6,5.6,2.9,1.5,0.5,2.8,1.9,3.3
1137,2021-08-23,5950,9021,22.985625,25.206875,21.39875,180.65,0.635,4.655,93.295625,40.445,1879.87,1645.14,1439.71,2.6,5.6,2.9,1.5,0.5,2.8,1.9,3.3
1138,2021-08-24,5940,9035,24.46,27.433125,21.893125,163.7,0.655384615,5.523571429,92.63,38.09333333,1879.82,1644.81,1439.35,2.6,5.6,2.9,1.5,0.5,2.8,1.9,3.3
1139,2021-08-25,5954,9122,24.2825,26.618125,22.556875,89.58125,0.813125,7.482,93.221875,37.82166667,1879.69,1644.52,1439.06,2.6,5.6,2.9,1.5,0.5,2.8,1.9,3.3
1140,2021-08-26,6048,9624,25.465,29.80625,22.120625,5.557142857,5.364375,16.078,83.8425,37.11333333,1879.01,1644.28,1438.88,2.6,5.6,2.9,1.5,0.5,2.8,1.9,3.3
1141,2021-08-27,6055,9664,23.186875,26.81875,20.744375,64.11875,3.146363636,8.489285714,89.885625,37.01166667,1878.65,1644.07,1438.62,2.6,5.6,2.9,1.5,0.5,2.8,1.9,3.3
1142,2021-08-30,6208,9918,24.09375,28.17375,21.3625,4.93,3.29375,13.37733333,83.631875,38.01666667,1878.81,1643.66,1438.21,2.6,5.6,2.9,1.5,0.5,2.8,1.9,3.3
1143,2021-08-31,6226,10024,23.358125,27.26625,20.75375,76.37692308,3.451666667,10.90666667,87.566875,34.535,1878.58,1643.51,1438.06,2.6,5.6,2.9,1.5,0.5,2.8,1.9,3.3
1144,2021-09-01,6226,10272,22.790625,25.875,20.3875,159.80625,0.816428571,6.417333333,90.595625,33.11166667,1878.24,1643.23,1437.74,2.4,3.1,3.0,1.7,0.7,2.7,2.0,3.1
1145,2021-09-02,6056,10385,22.0925,25.053125,19.959375,20.26153846,2.223333333,10.034,84.17375,31.52,1878.01,1642.98,1437.55,2.4,3.1,3.0,1.7,0.7,2.7,2.0,3.1
1146,2021-09-03,6083,10389,22.279375,26.350625,19.375,19.83636364,5.6425,15.826,80.29,30.40666667,1877.52,1642.68,1437.28,2.4,3.1,3.0,1.7,0.7,2.7,2.0,3.1
1147,2021-09-06,6102,10702,21.518125,24.769375,18.7875,40.53125,1.309285714,8.598,81.7025,30.18,1877.11,1642.44,1436.91,2.4,3.1,3.0,1.7,0.7,2.7,2.0,3.1
1148,2021-09-07,6063,10675,21.585625,24.40125,19.248125,54.01333333,0.794285714,5.301333333,91.825,28.4,1876.84,1642.25,1436.72,2.4,3.1,3.0,1.7,0.7,2.7,2.0,3.1
1149,2021-09-08,5978,10721,22.465625,27.034375,19.231875,5.0875,6.399375,17.594,81.095,28.75166667,1876.67,1642.09,1436.52,2.4,3.1,3.0,1.7,0.7,2.7,2.0,3.1
