년,평균온도,강수량,일사량,순간최대풍속,습도,고구마생산량,감자생산량,검색량,전국평균,충청남도평균,경기도평균,전라남도평균,전라북도평균
2016,13.278333333333334,641.1766666666666,352.8416666666667,13.959999999999999,73.19416666666667,341225,555670,37.260420833333335,4489,4479.0,4647.5,5072,3925
2017,12.355833333333335,520.4583333333334,391.08750000000003,13.936666666666667,70.47833333333334,324960,466755,37.2143225,4680,4476.0,5010.5,4826,3884
2018,12.549166666666666,753.65,403.3283333333334,14.123333333333333,71.08166666666666,305304,548065,48.59292083333333,5682,5266.0,6159.0,5797,4551
2019,12.631666666666666,600.9316666666667,428.6066666666666,14.598333333333334,70.96166666666666,368324,690419,45.34935333333333,5042,4619.0,5212.0,4902,4684
2020,12.835,793.8883333333333,417.91,15.645000000000001,73.76833333333333,329927,553194,77.30074916666666,5861,5607.0,6060.0,5801,5481
