연도,시도,종류,면적,단수,생산량
2017,세종특별자치시,감자,55,"1,950","1,081"
2017,경기도,감자,"1,811","2,205","39,927"
2017,강원도,감자,"4,891","2,826","138,249"
2017,충청북도,감자,"1,212","2,019","24,473"
2017,충청남도,감자,"2,287","1,925","44,022"
2017,전라북도,감자,"1,656","1,888","31,264"
2017,전라남도,감자,"2,123","2,226","47,267"
2017,경상북도,감자,"2,943","1,976","58,168"
2017,경상남도,감자,"1,929","2,220","42,820"
2017,제주도,감자,"1,571","1,810","28,440"
2018,계,감자,"23,402","2,342","548,065"
2018,서울특별시,감자,6,"2,439",148
2018,부산광역시,감자,53,"2,009","1,069"
2018,대구광역시,감자,61,"2,199","1,348"
2018,인천광역시,감자,160,"2,905","4,645"
2018,광주광역시,감자,46,"1,646",749
2018,대전광역시,감자,44,"2,127",926
2018,울산광역시,감자,97,"2,580","2,493"
2018,세종특별자치시,감자,32,"2,485",785
2018,경기도,감자,"1,833","2,417","44,293"
2018,강원도,감자,"5,148","2,722","140,121"
2018,충청북도,감자,"1,367","2,304","31,498"
2018,충청남도,감자,"2,419","2,264","54,755"
2018,전라북도,감자,"1,886","2,206","41,617"
2018,전라남도,감자,"2,751","2,212","60,851"
2018,경상북도,감자,"3,484","2,324","80,983"
2018,경상남도,감자,"1,912","2,180","41,684"
2018,제주도,감자,"2,104","1,906","40,101"
2019,계,감자,"26,829","2,573","690,419"
2019,서울특별시,감자,5,"2,462",122
2019,부산광역시,감자,65,"1,735","1,122"
2019,대구광역시,감자,95,"1,777","1,683"
2019,인천광역시,감자,196,"1,944","3,815"
2019,광주광역시,감자,44,"2,174",961
2019,대전광역시,감자,52,"2,913","1,526"
2019,울산광역시,감자,119,"2,019","2,406"
2019,세종특별자치시,감자,50,"2,183","1,099"
2019,경기도,감자,"2,124","2,485","52,789"
2019,강원도,감자,"5,913","3,368","199,157"
2019,충청북도,감자,"1,467","2,352","34,507"
2019,충청남도,감자,"2,920","2,379","69,463"
